wg,link,status
100-newcomers,https://mailarchive.ietf.org/arch/browse/100-newcomers/,active
100all,https://mailarchive.ietf.org/arch/browse/100all/,active
100attendees,https://mailarchive.ietf.org/arch/browse/100attendees/,active
100companions,https://mailarchive.ietf.org/arch/browse/100companions/,active
101-newcomers,https://mailarchive.ietf.org/arch/browse/101-newcomers/,active
101all,https://mailarchive.ietf.org/arch/browse/101all/,active
101attendees,https://mailarchive.ietf.org/arch/browse/101attendees/,active
101companions,https://mailarchive.ietf.org/arch/browse/101companions/,active
102-newcomers,https://mailarchive.ietf.org/arch/browse/102-newcomers/,active
102all,https://mailarchive.ietf.org/arch/browse/102all/,active
102attendees,https://mailarchive.ietf.org/arch/browse/102attendees/,active
102companions,https://mailarchive.ietf.org/arch/browse/102companions/,active
103-newcomers,https://mailarchive.ietf.org/arch/browse/103-newcomers/,active
103all,https://mailarchive.ietf.org/arch/browse/103all/,active
103attendees,https://mailarchive.ietf.org/arch/browse/103attendees/,active
104-newcomers,https://mailarchive.ietf.org/arch/browse/104-newcomers/,active
104all,https://mailarchive.ietf.org/arch/browse/104all/,active
104attendees,https://mailarchive.ietf.org/arch/browse/104attendees/,active
105-newcomers,https://mailarchive.ietf.org/arch/browse/105-newcomers/,active
105all,https://mailarchive.ietf.org/arch/browse/105all/,active
105attendees,https://mailarchive.ietf.org/arch/browse/105attendees/,active
106-newcomers,https://mailarchive.ietf.org/arch/browse/106-newcomers/,active
106all,https://mailarchive.ietf.org/arch/browse/106all/,active
106attendees,https://mailarchive.ietf.org/arch/browse/106attendees/,active
106companions,https://mailarchive.ietf.org/arch/browse/106companions/,active
107all,https://mailarchive.ietf.org/arch/browse/107all/,active
107attendees,https://mailarchive.ietf.org/arch/browse/107attendees/,active
108-newcomers,https://mailarchive.ietf.org/arch/browse/108-newcomers/,active
108all,https://mailarchive.ietf.org/arch/browse/108all/,active
108attendees,https://mailarchive.ietf.org/arch/browse/108attendees/,active
109-newcomers,https://mailarchive.ietf.org/arch/browse/109-newcomers/,active
109all,https://mailarchive.ietf.org/arch/browse/109all/,active
109attendees,https://mailarchive.ietf.org/arch/browse/109attendees/,active
110-newcomers,https://mailarchive.ietf.org/arch/browse/110-newcomers/,active
110all,https://mailarchive.ietf.org/arch/browse/110all/,active
110attendees,https://mailarchive.ietf.org/arch/browse/110attendees/,active
111-newcomers,https://mailarchive.ietf.org/arch/browse/111-newcomers/,active
111all,https://mailarchive.ietf.org/arch/browse/111all/,active
111attendees,https://mailarchive.ietf.org/arch/browse/111attendees/,active
112-newcomers,https://mailarchive.ietf.org/arch/browse/112-newcomers/,active
112all,https://mailarchive.ietf.org/arch/browse/112all/,active
112attendees,https://mailarchive.ietf.org/arch/browse/112attendees/,active
113-newcomers,https://mailarchive.ietf.org/arch/browse/113-newcomers/,active
113all,https://mailarchive.ietf.org/arch/browse/113all/,active
113attendees,https://mailarchive.ietf.org/arch/browse/113attendees/,active
114-newcomers,https://mailarchive.ietf.org/arch/browse/114-newcomers/,active
114all,https://mailarchive.ietf.org/arch/browse/114all/,active
114attendees,https://mailarchive.ietf.org/arch/browse/114attendees/,active
115-newcomers,https://mailarchive.ietf.org/arch/browse/115-newcomers/,active
115all,https://mailarchive.ietf.org/arch/browse/115all/,active
115attendees,https://mailarchive.ietf.org/arch/browse/115attendees/,active
116-newparticipants,https://mailarchive.ietf.org/arch/browse/116-newparticipants/,active
116all,https://mailarchive.ietf.org/arch/browse/116all/,active
116attendees,https://mailarchive.ietf.org/arch/browse/116attendees/,active
16ng,https://mailarchive.ietf.org/arch/browse/16ng/,active
25years,https://mailarchive.ietf.org/arch/browse/25years/,active
